
"0","",""
"442548","TD4024E.TXT.r_49;TD4024E.TXT.r_50;TD4024E.TXT.r_51"," chags bral nyid ni 'gog pa dang / / +lam gyi bden pa dag gis bsdus // / +go rims ji bzhin de dag kyang // / ","0.0#TD4025E.TXT.r#2167452#2167460#TD4025E.TXT.r_257;TD4025E.TXT.r_258;TD4025E.TXT.r_259;TD4025E.TXT.r_260# CHAGS BRAL NYID NI 'GOG PA DANG / / +lam GYI BDEN PA DAG GIS BSDUS // / "
"442558","TD4024E.TXT.r_52;TD4024E.TXT.r_53"," yon tan gsum gsum gyis rig bya // / +brtag min phyir dang brjod min    phyir ; / / ","0.0#TD4025E.TXT.r#2167525#2167527#TD4025E.TXT.r_266;TD4025E.TXT.r_267;TD4025E.TXT.r_268# rnam par byang ba'i bden pa gnyis kyi mtshan nyid kyi 'dod chags dang bral ba'i chos yin no zhes bstan to // / +brtag MIN PHYIR DANG BRJOD MIN PHYIR // / "
"442570","TD4024E.TXT.r_54;TD4024E.TXT.r_55"," 'phags pas mkhyen phyir bsam med nyid // / +zhi nyid gnyis med rtog med de // / ","0.0#TD4025E.TXT.r#2167528#2167538#TD4025E.TXT.r_267;TD4025E.TXT.r_268;TD4025E.TXT.r_269;TD4025E.TXT.r_270# brtag min phyir dang brjod min phyir // / +'phags PAS MKHYEN PHYIR BSAM MED NYID // / "
"442580","TD4024E.TXT.r_56;TD4024E.TXT.r_57"," dag sogs gsum ni nyi bzhin no // / +sems de rang bzhin 'od gsal bas na nyon mongs ngo bo med gzigs pas // / ","0.0#TD4025E.TXT.r#2168082#2168086#TD4025E.TXT.r_340;TD4025E.TXT.r_341# sems DE RANG BZHIN 'OD GSAL BAS NA NYON MONGS NGO BO MED GZIGS PAS // / ","5.960#TD4025E.TXT.r#2167537#2167538#TD4025E.TXT.r_269;TD4025E.TXT.r_270# zhi nyid gnyis med rtog med de // / +dag sogs gsum  NI NYI BZHIN NO // / "
"442592","TD4024E.TXT.r_58"," gang dag 'gro kun bdag med mtha' zhi yang dag rtogs nas thams cad  la ; / / ","0.0#TD4025E.TXT.r#2168085#2168094#TD4025E.TXT.r_340;TD4025E.TXT.r_341;TD4025E.TXT.r_342;TD4025E.TXT.r_343# sems de rang bzhin 'od gsal bas na nyon mongs ngo bo med gzigs pas // / +gang DAG 'GRO KUN BDAG MED     // / "
"442601","TD4024E.TXT.r_59"," rdzogs pa'i sangs rgyas rjes zhugs gzigs pa sgrib pa med pa'i blo mnga' ba // / ","0.019#TD4025E.TXT.r#2168095#2168102#TD4025E.TXT.r_342;TD4025E.TXT.r_343;TD4025E.TXT.r_344# mtha' zhi yang dag rtogs nas thams cad la // / +rdzogs PA'I SANGS RGYAS RJES ZHUGS GZIGS BA SGRIB PA MED PA'I BLO MNGA' BA // / "
"442609","TD4024E.TXT.r_60"," sems can rnam dag mtha' yas yul can ye shes gzigs mnga' de la 'dud // / ","0.0#TD4025E.TXT.r#2168103#2168111#TD4025E.TXT.r_343;TD4025E.TXT.r_344# rdzogs pa'i sangs rgyas rjes zhugs gzigs ba sgrib pa med pa'i blo mnga' ba // / +sems CAN RNAM DAG MTHA' YAS YUL CAN YE SHES GZIGS MNGA' DE LA 'DUD // / "
"442620","TD4024E.TXT.r_61;TD4024E.TXT.r_62;TD4024E.TXT.r_63"," ji lta ji snyed nang gi ni // / +ye shes gzigs pa dag pa'i phyir // / +blo ldan phyir mi ldog pa'i tshogs // / ","0.0#TD4025E.TXT.r#2168123#2168128#TD4025E.TXT.r_346;TD4025E.TXT.r_347;TD4025E.TXT.r_348;TD4025E.TXT.r_349# ji bzhin  JI SNYED NANG GI NI // / +ye SHES GZHIGS PA DAG PA'I PHYIR // / +blo LDAN PHYIR MI LDOG PA'I TSHOGS // / "
"442631","TD4024E.TXT.r_64;TD4024E.TXT.r_65;TD4024E.TXT.r_66"," bla med yon tan dang ldan nyid // / +'gro ba zhi ba'i chos nyid du // / +rtogs phyir ji lta nyid de yang // / ","0.0#TD4025E.TXT.r#2168127#2168128#TD4025E.TXT.r_347;TD4025E.TXT.r_348;TD4025E.TXT.r_349# ye shes gzhigs pa dag pa'i phyir // / +blo ldan phyir mi ldog pa'i tshogs // / +bla MED YON TAN DANG LDAN NYID // / ","0.0#TD4025E.TXT.r#2168155#2168165#TD4025E.TXT.r_351;TD4025E.TXT.r_352;TD4025E.TXT.r_353;TD4025E.TXT.r_354;TD4025E.TXT.r_355# rgyu gnyis kyis 'jig rten las 'das pa'i ye shes kyi gzigs pa  rnam par dag pa'i phyir phyir mi ldog pa'i byang chub sems dpa'i tshogs dkon mchog bla na med PA'I YON TAN DANG LDAN PA nyid bstan to // / +'gro BA ZHI BA'I CHOS NYID DU // / +rtogs PHYIR JI LTA NYID DE YANG // / "
"442642","TD4024E.TXT.r_67;TD4024E.TXT.r_68"," rang bzhin gyis ni yongs dag phyir // / +nyon mongs gdod nas zad phyir ro // / "
