
"0","",""
"1052258","TD4090.2E.TXT.r_47"," 'di'i 'gog pa ni gang zhig yin zhes 'gog pa'i bden ba la yongs su rtog go // / ","0.0#TD4036E.TXT.r#52254#52261#TD4036E.TXT.r_7840;TD4036E.TXT.r_7841# rgya mtsho chen po bzhi chus yongs su gang bas ni brgya'i char yang nye bar mi 'gro'o zhes bya ba nas rgyas par snga ma bzhin no // / +srid pa dang 'gro ba de dang de dag tu 'chi 'pho ba dang  skye ba dag na lus rnams mes bsregs par gyur pa'i me'i phung po gang yin ba de yang ches tshad med de / / "
"1052266","TD4090.2E.TXT.r_48"," 'di'i lam ni gang zhig yin zhes lam gyi  bden pa la yongs su rtog ste / / ","0.0#TD4036E.TXT.r#52262#52278#TD4036E.TXT.r_7841;TD4036E.TXT.r_7842;TD4036E.TXT.r_7843;TD4036E.TXT.r_7844# srid pa dang 'gro ba de dang de dag tu 'chi 'pho ba dang  skye ba dag na lus rnams mes bsregs par gyur pa'i me'i phung po gang yin ba de yang ches tshad med de / / "
"1052275","TD4090.2E.TXT.r_49"," nad mthong bas de'i gzhi dang zad pa dang sman tshol ba bzhin no // / "
"1052283","TD4090.2E.TXT.r_50;TD4090.2E.TXT.r_51"," bden pa rnams kyi dpe 'di ni mdo las kyang bshad do // / +mdo gang las she na / / ","0.0#TD4036E.TXT.r#52279#52287#TD4036E.TXT.r_7843;TD4036E.TXT.r_7844# sa'i khams kyi rus pa zhigs par gyur pa dag kyang ches tshad med do // / +gang gi lus de dag rab tu gyo bar byed pa'i rlung gi khams de yang ches tshad med do // / "
"1052292","TD4090.2E.TXT.r_52"," yan lag bzhi dang ldan pa'i sman pas zug rdu 'byin pa zhes gsungs pa de las bstan to // / ","0.0#TD4036E.TXT.r#52288#52298#TD4036E.TXT.r_7844;TD4036E.TXT.r_7845;TD4036E.TXT.r_7846# gang gi lus de dag rab tu gyo bar byed pa'i rlung gi khams de yang ches tshad med do // / +lus de dag gi mig la sogs pa sbubs yod pa'i nam mkha'i khams kyang ches tshad med do // / "
"1052302","TD4090.2E.TXT.r_53"," sngar 'phangs pa'i phyir ji ltar  rnam par dpyod pa'i gnas skabs na bden ba la yongs su rtog pa de kho na bzhin du mngon par rtogs pa'i gnas skabs na yang bden pa mngon par rtogs te / / ","0.0#TD4036E.TXT.r#52296#52312#TD4036E.TXT.r_7845;TD4036E.TXT.r_7846# lus de dag gi mig la sogs pa sbubs yod pa'i nam mkha'i khams kyang ches tshad med do // / "
"1052316","TD4090.2E.TXT.r_54;TD4090.2E.TXT.r_55"," dkyus sa bstan pa'i rta thags thogs med par rgyug pa bzhin no // / +mngon bar rtogs pa zhes bya ba'i don ni ci zhe na / / ","0.0#TD4036E.TXT.r#52311#52324#TD4036E.TXT.r_7846;TD4036E.TXT.r_7847;TD4036E.TXT.r_7848# da ltar gyi tha ma'i lus 'di la thug  pa'i bar gyi lus sar pa sar pa dag yang dang yang du len par byed pa'i rnam par shes pa'i rgyun de yang ces tshad med de / / "
"1052329","TD4090.2E.TXT.r_56;TD4090.2E.TXT.r_57"," mngon par yang dag par  rtogs pa'o // / +ci'i phyir zag ba med pa kho na yin gyi zag pa dang bcas pa ma yin zhe na / / ","0.0#TD4036E.TXT.r#52325#52334#TD4036E.TXT.r_7847;TD4036E.TXT.r_7848;TD4036E.TXT.r_7849# de'i rnams par shes pa'i rgyun la gnas pa'i 'gro ba de yang phyi ma'i mthar ni ma nges te / / +de ltar rnam par shes pa'i khams kyi bar 'di ni tshad med pa yin no zhes de ltar  mos par byed do // / "
"1052339","TD4090.2E.TXT.r_58;TD4090.2E.TXT.r_59;TD4090.2E.TXT.r_60"," de ni mya ngan las 'das pa la mngon du phyogs par yang dag par rtog pa ste / / +yang dag pa zhes bya ba ni de kho na nyid du'o // / +de la nye bar len pa'i phung po 'bras bur gyur pa rnams ni sdug bsngal gyi bden pa yin no // / ","0.0#TD4036E.TXT.r#52335#52349#TD4036E.TXT.r_7848;TD4036E.TXT.r_7849;TD4036E.TXT.r_7850;TD4036E.TXT.r_7851# de ltar rnam par shes pa'i khams kyi bar 'di ni tshad med pa yin no zhes de ltar  mos par byed do // / +de la dbugs rngub pa dang  dbugs 'byung ba dran pa'i rnal 'byor la rab tu brtson pa'i las dang po pa ni / / "
"1052354","TD4090.2E.TXT.r_61;TD4090.2E.TXT.r_62;TD4090.2E.TXT.r_63"," rgyur gyur pa rnams ni kun 'byung gi bden ba yin te / / +'di las kun 'byung ba'i phyir ro // / +de nyid kyi phyir 'di gnyis ni rgyu dang 'bras bur gyur pas ming gi sgo nas bye brag yod kyi rdzas su ni ma yin no // / ","0.0#TD4036E.TXT.r#52350#52357#TD4036E.TXT.r_7850;TD4036E.TXT.r_7851;TD4036E.TXT.r_7852# gnas khang gyas gyon gyi sgo'i rnam pa las sam / / +lcags mgar gyi spud pa dag las sam / / ","0.0#TD4036E.TXT.r#52358#52367#TD4036E.TXT.r_7852;TD4036E.TXT.r_7853# gser mgar gyi shing sbud las sam / / +phyi rol gyi rlung gi phung po dag las rlung phyir 'byung ba dang  nang du 'jug pa dang  'ong ba dang  'gro ba'i mtshan ma bzung nas nang gi dbugs rngub pa dang  dbugs 'byung ba'i dmigs pa dran pas / / "
