
"0","",""
"2958919","TD4031E.TXT.r_64;TD4031E.TXT.r_65"," bye brag tu shes par bya ba ni yang dag par gdams ngag dang rjes su bsten pa yin no // / +bsam par bya ba ni de kho na nyid zab pa dang rgya che ba thabs la mkhas pa'i skabs so // / ","0.0#TD4034.1E.TXT.r#958915#958928#TD4034.1E.TXT.r_8887;TD4034.1E.TXT.r_8888;TD4034.1E.TXT.r_8889;TD4034.1E.TXT.r_8890;TD4034.1E.TXT.r_8891# de'ang ci ltar grub ce na snga ma snga ma la brten nas / / +phyi ma phyi ma 'grub pa'o // / +'di la rang bzhin med pa la brten nas skye ba med par 'grub bo // / "
"2958932","TD4031E.TXT.r_66;TD4031E.TXT.r_67"," thabs yang rnam pa gsum ste / / +bsdu ba'i dngos po  bzhi dang ldan pa'i pha rol tu phyin pa drug dang  tshad med pa bzhis bsdus pa dkon mchog mchod pa la sogs pa bstan pa dang  lam gyis bsdus pa byang chub kyi phyogs dang mthun pa'i chos bstan pa'o // / ","0.0#TD4034.1E.TXT.r#958927#958937#TD4034.1E.TXT.r_8890;TD4034.1E.TXT.r_8891;TD4034.1E.TXT.r_8892;TD4034.1E.TXT.r_8893# skye ba med pa la brten nas 'gag pa med par 'grub bo // / ","0.0#TD4034.1E.TXT.r#958937#958947#TD4034.1E.TXT.r_8891;TD4034.1E.TXT.r_8892;TD4034.1E.TXT.r_8893;TD4034.1E.TXT.r_8894# de  gnyis la brten nas thog ma nas zhi ba 'grub bo // / +thog ma nas zhi ba la'ang brten nas / / +rang bzhin gyis mya ngan las 'das par 'grub bo // / "
"2958951","TD4031E.TXT.r_68;TD4031E.TXT.r_69"," bsam gyis mi khyab pa ni yon tan gyi skabs so // / +yongs su grub pa rtogs pa'i don so  sor rang gis rig par bya ba ni mthar thug pa'i skabs yin te / / ","0.0#TD4034.1E.TXT.r#958946#958959#TD4034.1E.TXT.r_8894;TD4034.1E.TXT.r_8895;TD4034.1E.TXT.r_8896# de la rang gi ngo bo med pa dang  rang gi bdag nyid du dngos po med pa dang  bdag gi dngos po la mi gnas pa dang  'dzin pa bzhin du med pas na rang bzhin     // / "
"2958963","TD4031E.TXT.r_70"," de ltar na bstan bcos kyi lus yongs su rdzogs pa mdor gzhag pa dang  dpe lngas mtshon nas bkod pa 'og ma dang sbyar ba yin no // / ","0.0#TD4034.1E.TXT.r#958958#958971#TD4034.1E.TXT.r_8894;TD4034.1E.TXT.r_8896;TD4034.1E.TXT.r_8895;TD4034.1E.TXT.r_8897;TD4034.1E.TXT.r_8898# de la rang gi ngo bo med pa dang  rang gi bdag nyid du dngos po med pa dang  bdag gi dngos po la mi gnas pa dang  'dzin pa bzhin du med pas na rang bzhin     // / +de ltar rang bzhin med pa'i chos ni nam mkha' lta bu yin ba'i phyir de la skye ba med do // / "
"2958975","TD4031E.TXT.r_71;TD4031E.TXT.r_72"," gong ma dang sbyar ba rtogs pa brgyud de 'ongs pa ni 'di yin te / / +theg pa chen po la 'byor pa'i  don tshul bla na med pa lnga ste gang zhe na / / ","0.0#TD4034.1E.TXT.r#958967#958984#TD4034.1E.TXT.r_8896;TD4034.1E.TXT.r_8897;TD4034.1E.TXT.r_8898;TD4034.1E.TXT.r_8899# de ltar rang bzhin med pa'i chos ni nam mkha' lta bu yin ba'i phyir de la skye ba med do // / +skye ba med pa la 'jig pa med pas ni 'gag pa med do // / "
"2958989","TD4031E.TXT.r_73"," rigs mchog dang ldan pa'i gang zag don shes par nus pa la phyin ci ma log par don ston pa dang  ston pa'i tshig dri ma med pa bstan pa dang  'gro ba lnga po sdug bsngal las bsgral ba'i ched yin pa dang  de'i rgyud snying rje chen po dang ldan pa'i bdag     // / ","0.0#TD4034.1E.TXT.r#958985#958997#TD4034.1E.TXT.r_8898;TD4034.1E.TXT.r_8899# gang skye ba dang 'gag par kun du brtags pa'i chos de nyid la thog ma nas zhi ba zhes bya'o // / +'di ltar skye ba dang 'jig  pas dkrugs shing sog le rnon pos dras pa'i 'du byed rnams la ni 'phags la rnams skyo bar mdzad kyi skye ba dang 'gag pa spongs pa'i bdud rtsi'i dbyings la ni 'phags pa rnams dgyes par mdzad pa'i phyir ro // / ","0.0#TD4034.1E.TXT.r#958998#959009#TD4034.1E.TXT.r_8899;TD4034.1E.TXT.r_8900# 'di ltar skye ba dang 'jig  pas dkrugs shing sog le rnon pos dras pa'i 'du byed rnams la ni 'phags la rnams skyo bar mdzad kyi skye ba dang 'gag pa spongs pa'i bdud rtsi'i dbyings la ni 'phags pa rnams dgyes par mdzad pa'i phyir ro // / "
"2959013","TD4031E.TXT.r_74;TD4031E.TXT.r_75"," nyid dang  bstan par bya ba'i chos theg pa mchog tu gyur pa'o // / +de lnga ni tshigs bcad dang po'i don te / / ","0.0#TD4034.1E.TXT.r#959008#959018#TD4034.1E.TXT.r_8899;TD4034.1E.TXT.r_8900;TD4034.1E.TXT.r_8901;TD4034.1E.TXT.r_8902# 'di ltar skye ba dang 'jig  pas dkrugs shing sog le rnon pos dras pa'i 'du byed rnams la ni 'phags la rnams skyo bar mdzad kyi skye ba dang 'gag pa spongs pa'i bdud rtsi'i dbyings la ni 'phags pa rnams dgyes par mdzad pa'i phyir ro // / +gang thog ma nas zhi ba'i chos de nyid la rang bzhin gyis mya ngan las 'das pa zhes kyang  de la bya ste / / "
"2959022","TD4031E.TXT.r_76;TD4031E.TXT.r_77;TD4031E.TXT.r_78"," dpe lngas mtshon pa'i don lnga ste / / +mdor bstan pa'o // / +de lnga'i rgyas par bshad pa ni 'di yin te / / ","0.0#TD4034.1E.TXT.r#959017#959026#TD4034.1E.TXT.r_8900;TD4034.1E.TXT.r_8901;TD4034.1E.TXT.r_8902# gang thog ma nas zhi ba'i chos de nyid la rang bzhin gyis mya ngan las 'das pa zhes kyang  de la bya ste / / +de nyid la yongs su grub pa'i mtshan nyid ces bya ba'i don to // / "
"2959031","TD4031E.TXT.r_79"," don shes kyi rgyas bshad ni dmigs par bya ba'i yul theg  pa chen po'i rgyu 'bras bu dang bcas pa'i byang chub kyi skabs kyi bar ro // / ","0.0#TD4034.1E.TXT.r#959027#959039#TD4034.1E.TXT.r_8902;TD4034.1E.TXT.r_8903;TD4034.1E.TXT.r_8904# yongs su grub pa'i mtshan nyid de rang bzhin gyis ye nas gnas kyi lam bsgoms bas bskyed pa ma yin pas na rang bzhin gyis mya ngan las 'das pa zhes bya'o // / "
"2959044","TD4031E.TXT.r_80"," don ston gyi rgyas bshad ni theg pa chen po la mos pa chos tshol ba ji lta ba bzhin du ston pa'i skabs so // / ","0.0#TD4034.1E.TXT.r#959040#959051#TD4034.1E.TXT.r_8903;TD4034.1E.TXT.r_8904;TD4034.1E.TXT.r_8905# mi skye ba'i chos kyi bzod pa yongs su tshol ba las  brtsams te tshigs su bcad pa'o zhes bya ba la / / +mdo sde de dang de dag gi nang nas mi skye ba'i chos la bzod pa thob pa'o zhes gsungs ba la / / "
