
"0","",""
"2961225","TD4062E.TXT.r_50;TD4062E.TXT.r_51"," de kha dog gi rdul phra rab kyi bye brag 'dus pa las khyad par ci yod de / / +de dag kho na 'dus pa'i khyad par las ring po'am / / ","0.0#TD4034.1E.TXT.r#961220#961233#TD4034.1E.TXT.r_9195;TD4034.1E.TXT.r_9196;TD4034.1E.TXT.r_9197;TD4034.1E.TXT.r_9198;TD4034.1E.TXT.r_9199;TD4034.1E.TXT.r_9200# de'i phyir / / +phyi phyir bdag gi sems la ni // / +kun du spyod pa sbyor pas so // / "
"2961238","TD4062E.TXT.r_52;TD4062E.TXT.r_53"," thung du la sogs par 'gyur ro // / +'on te kha dog la sogs pa 'dus pa la khyab pa'i rdzas gcig  bu zhig yin na na ni / / ","0.0#TD4034.1E.TXT.r#961234#961252#TD4034.1E.TXT.r_9199;TD4034.1E.TXT.r_9200;TD4034.1E.TXT.r_9201# bdag gi  sems ni nyon mongs pa dang nyan thos kyi sems so // / +phyi phyir zhes bya ba ni yang nas yang du zhes bya ba'i don to // / ","0.022#TD4047E.TXT.r#1196424#1196425#TD4047E.TXT.r_10725;TD4047E.TXT.r_10726# rton pa bzhi po dag la zhes bya ba ni don rnam pa bzhis rton pa rnam pa bzhi la ji ltar rton par rigs par 'gyur zhes dris pa'i don to // / +don 'dod pa'i phyir zhes bya ba ni don lhur len par gyur pas nyan par byed kyi yi ge sbyar ba lhur len pa ni ma yin no // / "
"2961249","TD4062E.TXT.r_54"," de gcig bu nyid yin pa'i phyir dang  khyab pa yin pa'i phyir cha shas re re la gzung bar 'gyur te / / "
"2961257","TD4062E.TXT.r_55;TD4062E.TXT.r_56;TD4062E.TXT.r_57"," thams cad la de yod pa'i phyir ro // / +yang na de gcig pu ma yin te / / +cha dang char rnam par gnas pa'i phyir ro // / ","0.0#TD4034.1E.TXT.r#961253#961261#TD4034.1E.TXT.r_9201;TD4034.1E.TXT.r_9202# don mthong ba'i nyan thos de dag yang nas yang du nyan thos kyi sems nyon mongs pa dang  'khor bas skyo ba dang  mya ngan las 'das pa la mngon par dga' ba yang nas  yang du 'byung zhing de la kun du spyod cing sbyor la sems can gyi don mi byed pas mya ngan las 'das pa la mngon du dga' ba zhes bya ste / / "
"2961266","TD4062E.TXT.r_58"," skye mched bcu ni rdul phra rab  bstsags pa dag yin no zhes bya ba'i grub pa'i mtha' dang yang 'gal bar 'gyur ro // / ","0.0#TD4034.1E.TXT.r#961262#961270#TD4034.1E.TXT.r_9201;TD4034.1E.TXT.r_9202;TD4034.1E.TXT.r_9203# don mthong ba'i nyan thos de dag yang nas yang du nyan thos kyi sems nyon mongs pa dang  'khor bas skyo ba dang  mya ngan las 'das pa la mngon par dga' ba yang nas  yang du 'byung zhing de la kun du spyod cing sbyor la sems can gyi don mi byed pas mya ngan las 'das pa la mngon du dga' ba zhes bya ste / / +de ltar gyur dang dad po nyan thos kyi theg pa la yang bshad / / "
"2961275","TD4062E.TXT.r_59"," gzegs zan pa'i gzhung gis yan lag can gyi rdzas su smra ba yang spel bar 'gyur ro // / ","0.0#TD4034.1E.TXT.r#961271#961280#TD4034.1E.TXT.r_9203# de nas bskal pa grangs med pa gsum du theg pa chen por zhugs nas 'tshang rgya bas yun ring por  'tshang rgya ba'i phyir zhan pa zhes bya'o // / "
"2961285","TD4062E.TXT.r_60"," phyogs gcig gi sgor 'dus pa mang por snang pa la ni ring bo'i blo 'byung / / ","0.0#TD4034.1E.TXT.r#961281#961291#TD4034.1E.TXT.r_9203;TD4034.1E.TXT.r_9204;TD4034.1E.TXT.r_9205# de nas bskal pa grangs med pa gsum du theg pa chen por zhugs nas 'tshang rgya bas yun ring por  'tshang rgya ba'i phyir zhan pa zhes bya'o // / +nyan thos rigs ma nges pa rnam pa gnyis las don mthong ba dang ma mthong ba rnam pa gnyis su bshad do // / "
"2961294","TD4062E.TXT.r_61;TD4062E.TXT.r_62"," thung du la thung    du'i blo 'byung / / +thams cad nas mnyam bar snang ba la ni lham pa'i blo 'byung / / ","0.0#TD4034.1E.TXT.r#961289#961301#TD4034.1E.TXT.r_9204;TD4034.1E.TXT.r_9205;TD4034.1E.TXT.r_9206# nyan thos rigs ma nges pa rnam pa gnyis las don mthong ba dang ma mthong ba rnam pa gnyis su bshad do // / "
"2961306","TD4062E.TXT.r_63;TD4062E.TXT.r_64"," khor yug nas mnyam pa la ni zlum po'i blo 'byung / / +dbus na mang po la ni mthon po'i blo 'byung / / "
"2961318","TD4062E.TXT.r_65;TD4062E.TXT.r_66"," nyung ba la ni dma' ba'i blo 'byung / / +phyogs gcig gi sgor snang ba la ni phya le ba'i blo 'byung / / ","0.0#TD4034.1E.TXT.r#961314#961331#TD4034.1E.TXT.r_9207;TD4034.1E.TXT.r_9208;TD4034.1E.TXT.r_9209;TD4034.1E.TXT.r_9210# sems can gyi don byas nas bsong nams dang ye shes kyi tshogs bsags te / / +ji ltang mngon par 'tshang rgya bar 'gyur ba ni bshang zin to // / "
"2961328","TD4062E.TXT.r_67;TD4062E.TXT.r_68"," phyogs sna tshogs kyi sgo la ni phya le ma yin pa'i blo 'byung ngo // / +ri mo bkram pa de dang de lta bur snang ba la yang dbyibs kyi blo de dang de 'byung mod kyi / / ","0.0#TD4034.1E.TXT.r#961332#961340#TD4034.1E.TXT.r_9210;TD4034.1E.TXT.r_9211;TD4034.1E.TXT.r_9212# de ji ltar mngon par 'tshang rgya bar bstan pa'i phyir / / "
"2961345","TD4062E.TXT.r_69"," dbyibs rigs tha dad bdag ni yul gcig par rigs pa yang ma yin te / / ","0.0#TD4034.1E.TXT.r#961341#961349#TD4034.1E.TXT.r_9211;TD4034.1E.TXT.r_9212;TD4034.1E.TXT.r_9213;TD4034.1E.TXT.r_9214# gang phyir don ma  byas pa de // / +sangs rgyas med 'byung bsam gtan don // / "
"2961354","TD4062E.TXT.r_70;TD4062E.TXT.r_71"," dper na kha dog dag bzhin no // / +'on kyang 'gyur  na ni phyogs thams cad du dbyibs thams cad kyi blo 'byung bar 'gyur ba zhig na de lta yang ma yin no // / ","0.0#TD4034.1E.TXT.r#961350#961369#TD4034.1E.TXT.r_9213;TD4034.1E.TXT.r_9214;TD4034.1E.TXT.r_9215;TD4034.1E.TXT.r_9216;TD4034.1E.TXT.r_9217;TD4034.1E.TXT.r_9218;TD4034.1E.TXT.r_9219;TD4034.1E.TXT.r_9220# brtson zhing sprul pa sprul don du / / +de la brten nas byang chub thob // / "
"2961367","TD4062E.TXT.r_72;TD4062E.TXT.r_73"," de lta bas na dbyibs zhes bya ba'i rdzas gzhan ni med kyi / / +kha dog kho na yul gyi khyad par gnas pa la ring po la sogs pa'i blo dag 'byung ste / / ","0.0#TD4034.1E.TXT.r#961370#961378#TD4034.1E.TXT.r_9219;TD4034.1E.TXT.r_9220# mos pa spyod pa'i sa la gnas pa rnams so // / +don ma byas pa de dag 'dod pa'i khams nas shi 'phos nas 'dod pa'i khams kyi lha tshe ring po'i nang du skye'o // / "
"2961383","TD4062E.TXT.r_74"," dper na shing dang bya dang   grog ma la sogs pa'i dngar ka dag la 'byung ba lta bu ste / / ","0.0#TD4034.1E.TXT.r#961379#961387#TD4034.1E.TXT.r_9220;TD4034.1E.TXT.r_9221# don ma byas pa de dag 'dod pa'i khams nas shi 'phos nas 'dod pa'i khams kyi lha tshe ring po'i nang du skye'o // / "
