
"0","",""
"1588405","TD4012E.TXT.r_45;TD4012E.TXT.r_46"," gang las ci la ji ltar  mi chags pa'i sbyor ba de bstan pa'i phyir gsungs pa / / +las dang nyon mongs bdud kyi las zhes bya ba la sogs pa'o // / ","0.0#TD4068E.TXT.r#588400#588413#TD4068E.TXT.r_2212;TD4068E.TXT.r_2213# de dag ni sems dang mi ldan pa'i 'du byed yin no zhes ma smos su zin kyang sems dang mi ldan pa'i 'du byed bshad pa'i skabs yin pas gang gzugs kyi dus la gdags pa dang  sems kyi dus la gdags pa dang   sems las byung ba'i dus la gdags pa de dag ni 'du byed sems dang mi ldan pa'o zhes bya ba'o // / "
"1588418","TD4012E.TXT.r_47;TD4012E.TXT.r_48"," tshe 'di dang gzhan du sems can la phan pa'i dbang du byas te gsungs pa / / +ngan stong sdug bsngal rab tu zhi bar byed // / ","0.0#TD4068E.TXT.r#588414#588424#TD4068E.TXT.r_2213;TD4068E.TXT.r_2214;TD4068E.TXT.r_2215;TD4068E.TXT.r_2216# de la 'du byed sems dang mi ldan pa mang du yod pa las kha cig ni gzugs kyi dus la gdags / / "
"1588429","TD4012E.TXT.r_49;TD4012E.TXT.r_50"," ces bya ba la sogs pa'o // / +sems can gyi spyod pa'i  rjes su 'jug pa dang  sangs rgyas kyi chos yongs su bskang ba dang  dam pa'i chos rab tu bstan pas go cha rnam pa gsum ste / / ","0.0#TD4068E.TXT.r#588425#588437#TD4068E.TXT.r_2215;TD4068E.TXT.r_2216;TD4068E.TXT.r_2217# kha cig ni sems las byung ba'i dus la gdags  te ; / +de bas na de dag btags par yod kyi rdzas su med do zhes bya ba'i don to // / "
"1588441","TD4012E.TXT.r_51;TD4012E.TXT.r_52"," gang gsungs pa / / +sems can rnams kyi spyod pa dang mthun par 'jug ces bya ba la sogs pa'o // / ","0.0#TD4068E.TXT.r#588436#588457#TD4068E.TXT.r_2217;TD4068E.TXT.r_2218;TD4068E.TXT.r_2219# yang na 'du byed sems dang mi ldan pa rnams gzugs dang sems dang sems las byung ba'i mthu las skyes pa'am / / "
"1588449","TD4012E.TXT.r_53;TD4012E.TXT.r_54"," lus dang ngag dang spyod pa dang smon lam gyi skal ba mnyam pa'i     // / +byang chub sems dpa' dang 'grogs pa ste / / "
"1588457","TD4012E.TXT.r_55;TD4012E.TXT.r_56;TD4012E.TXT.r_57"," gang gsungs pa / / +bdag gi spyod dang mthun par gang spyod pa // / +zhes bya ba la sogs pa'o // / ","0.0#TD4068E.TXT.r#588453#588462#TD4068E.TXT.r_2218;TD4068E.TXT.r_2219# de gsum gyi yan lag tu gtogs pa na gzugs dang  sems dang  sems las byung  pa'i dus la gdags pa zhes bya ste / / +'du byed sems dang mi ldan pa de dag gzugs dang sems dang sems las byung ba'i ngag gis bskyed nas nam bdag gi ngo bo thob par gyur pa'i dus na chos de dag nyid kyi ming du btags te / / ","0.0#TD4068E.TXT.r#588584#588585#TD4068E.TXT.r_2229;TD4068E.TXT.r_2227;TD4068E.TXT.r_2228# gzugs dang sems dang sems  las byung ba'i bdag gis bskyed pa'i 'du byed sems dang mi ldan pa de dag gzugs dang sems dang sems las byung ba'i ngo bo nyid yin no zhes kyang mi gdags / / "
"1588466","TD4012E.TXT.r_58"," phan pa'i bsam pa bstan pa dang nan tan gyis dge ba'i bshes gnyen gyi dbang du mdzad nas gang gsungs pa / / ","0.0#TD4068E.TXT.r#588461#588471#TD4068E.TXT.r_2219# 'du byed sems dang mi ldan pa de dag gzugs dang sems dang sems las byung ba'i ngag gis bskyed nas nam bdag gi ngo bo thob par gyur pa'i dus na chos de dag nyid kyi ming du btags te / / "
"1588476","TD4012E.TXT.r_59;TD4012E.TXT.r_60;TD4012E.TXT.r_61"," bdag la  phan par 'dod pa'i grogs po dag / / +ces bya ba la sogs pa'o // / +dus dang 'khor dang mchod pa byed pa la yongs su mi skyo bas de bzhin gshegs pa mngon du 'gyur ba ste / / ","0.0#TD4068E.TXT.r#588472#588483#TD4068E.TXT.r_2219;TD4068E.TXT.r_2220;TD4068E.TXT.r_2221# 'du byed sems dang mi ldan pa de dag gzugs dang sems dang sems las byung ba'i ngag gis bskyed nas nam bdag gi ngo bo thob par gyur pa'i dus na chos de dag nyid kyi ming du btags te / / +dper na 'gog pa'i snyoms par 'jug pa yang gzugs dang   sems dang sems las byung ba'i mthus bskyed par brtsams te / / "
"1588488","TD4012E.TXT.r_62;TD4012E.TXT.r_63;TD4012E.TXT.r_64"," gang gsungs pa / / +mngon sum rtag tu bdag gis rgyal ba blta // / +zhes bya ba la sogs pa'o // / ","0.0#TD4068E.TXT.r#588484#588492#TD4068E.TXT.r_2220;TD4068E.TXT.r_2221# dper na 'gog pa'i snyoms par 'jug pa yang gzugs dang   sems dang sems las byung ba'i mthus bskyed par brtsams te / / +nam sems 'gags pa'i tshe mtshan nyid thob bar gyur pa'i skad cig ma gnyis pa phan chad 'gog pa'i snyoms par 'jug pa zhes gdags ba bzhin du 'du byed sems dang mi ldan pa gzhan yang gzugs dang sems dang sems  las byung ba de dag gis thob par bya bar btsal nas / / "
"1588497","TD4012E.TXT.r_65;TD4012E.TXT.r_66"," 'dzin  pa dang yongs su sbyong ba dang bshad pas dam pa'i chos yongs su gzung bar gsungs pa / / +rgyal ba rnams kyi dam pa'i chos 'dzin cing // / ","0.0#TD4068E.TXT.r#588493#588502#TD4068E.TXT.r_2221# nam sems 'gags pa'i tshe mtshan nyid thob bar gyur pa'i skad cig ma gnyis pa phan chad 'gog pa'i snyoms par 'jug pa zhes gdags ba bzhin du 'du byed sems dang mi ldan pa gzhan yang gzugs dang sems dang sems  las byung ba de dag gis thob par bya bar btsal nas / / "
"1588506","TD4012E.TXT.r_67;TD4012E.TXT.r_68"," zhes bya ba la sogs pa'o // / +bsod nams dang ye shes la sogs pa tshogs bsgrubs pas mi zad pa'i mdzod rab tu rnyed par gang gsungs pa / / ","0.0#TD4068E.TXT.r#588501#588522#TD4068E.TXT.r_2221;TD4068E.TXT.r_2222;TD4068E.TXT.r_2223# nam sems 'gags pa'i tshe mtshan nyid thob bar gyur pa'i skad cig ma gnyis pa phan chad 'gog pa'i snyoms par 'jug pa zhes gdags ba bzhin du 'du byed sems dang mi ldan pa gzhan yang gzugs dang sems dang sems  las byung ba de dag gis thob par bya bar btsal nas / / "
"1588520","TD4012E.TXT.r_69;TD4012E.TXT.r_70;TD4012E.TXT.r_71;TD4012E.TXT.r_72"," srid pa thams cad du ni 'khor ba na // / +zhes bya ba la sogs pa'o // / +'jug pa ni rnam pa brgyad de / / +sangs rgyas dang de'i zhing mthong ba la 'jug pa'i tshigs su bcad pa gnyis kyis bstan te / / ","0.0#TD4068E.TXT.r#588523#588530#TD4068E.TXT.r_2223# 'di ltar gzugs dang sems dang sems las byung ba'i mthus bskyed pa'i 'du byed sems dang mi ldan pa'i rnams nyan thos rnam par smra ba rnams ni gzugs  dang sems dang sems las byung ba la ma gtogs par rdzas su logs shig na yod par rtog ste / / "
"1588535","TD4012E.TXT.r_73;TD4012E.TXT.r_74"," gang gsungs pa / / +rdul gcig steng na rdul snyed zhing rnams zhes bya ba la sogs pa'o // / ","0.0#TD4068E.TXT.r#588531#588540#TD4068E.TXT.r_2223;TD4068E.TXT.r_2224# 'di ltar gzugs dang sems dang sems las byung ba'i mthus bskyed pa'i 'du byed sems dang mi ldan pa'i rnams nyan thos rnam par smra ba rnams ni gzugs  dang sems dang sems las byung ba la ma gtogs par rdzas su logs shig na yod par rtog ste / / "
